               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.07345,             0.12116,             0.02153,              0.4036,             0.50411,             0.41852,             0.13453,            0.052457,            0.066457,             0.01272,           0.0032959,           0.0032959,            0.070337
                   1,            0.056907,            0.096821,            0.012132,             0.55347,             0.61071,             0.63254,             0.27833,            0.046097,            0.056973,           0.0079825,           0.0065636,           0.0065636,            0.040271
                   2,            0.048452,            0.089301,           0.0093796,             0.60177,             0.73151,              0.6662,              0.2754,            0.049639,            0.060315,            0.010113,           0.0097653,           0.0097653,             0.01014
                   3,            0.039142,            0.087573,            0.008129,             0.79263,              0.7956,             0.85395,             0.55001,            0.033436,            0.052504,           0.0054816,            0.009703,            0.009703,            0.009703
                   4,            0.035204,            0.081788,           0.0067626,             0.76356,             0.77907,             0.82537,             0.55316,            0.031285,            0.050642,           0.0071438,            0.009703,            0.009703,            0.009703
                   5,            0.031977,             0.07813,           0.0057051,             0.83133,             0.82184,             0.89008,             0.63143,            0.027791,             0.04756,           0.0052751,            0.009604,            0.009604,            0.009604
                   6,            0.029564,            0.075549,           0.0055343,             0.82675,             0.80043,             0.87375,             0.61111,            0.029545,            0.048839,           0.0060056,            0.009505,            0.009505,            0.009505
                   7,            0.027897,            0.070865,            0.005057,             0.77789,             0.85697,             0.86981,             0.61593,            0.027693,            0.047608,           0.0056888,            0.009406,            0.009406,            0.009406
                   8,            0.028006,            0.072925,           0.0047817,             0.77979,              0.8307,             0.84082,             0.59797,            0.027844,            0.047451,           0.0077455,            0.009307,            0.009307,            0.009307
                   9,            0.027001,            0.071235,           0.0045044,             0.79561,             0.83817,             0.86726,             0.61292,            0.028021,            0.049403,           0.0055605,            0.009208,            0.009208,            0.009208
                  10,            0.025879,            0.068769,           0.0046043,             0.80493,             0.87534,              0.8652,             0.61675,            0.028675,            0.050423,           0.0048905,            0.009109,            0.009109,            0.009109
                  11,            0.025337,             0.06991,           0.0041256,             0.82944,             0.86268,             0.89904,             0.66229,            0.026335,            0.045953,           0.0049439,             0.00901,             0.00901,             0.00901
                  12,            0.025125,             0.06924,            0.003663,             0.81722,             0.83736,             0.86995,             0.63411,            0.026598,             0.04805,           0.0051407,            0.008911,            0.008911,            0.008911
                  13,            0.024178,            0.066031,           0.0037981,             0.87287,             0.85115,             0.90165,             0.66459,            0.026503,            0.046442,           0.0043007,            0.008812,            0.008812,            0.008812
                  14,             0.02392,            0.065157,           0.0035068,             0.84983,             0.82152,             0.89526,             0.64542,            0.026926,            0.048336,           0.0052125,            0.008713,            0.008713,            0.008713
                  15,            0.023337,            0.064706,           0.0036551,             0.83632,             0.81564,             0.87342,             0.64089,             0.02632,            0.049032,            0.005634,            0.008614,            0.008614,            0.008614
                  16,            0.023296,            0.062912,           0.0031958,             0.85861,             0.79701,             0.87479,             0.63206,            0.027164,            0.046965,           0.0066705,            0.008515,            0.008515,            0.008515
                  17,             0.02343,             0.06307,           0.0034059,             0.89163,             0.83015,              0.8934,             0.66149,            0.026232,             0.04657,           0.0044333,            0.008416,            0.008416,            0.008416
                  18,             0.02271,            0.063091,           0.0031938,             0.84803,             0.81027,              0.8869,             0.66355,            0.025677,            0.045761,           0.0050048,            0.008317,            0.008317,            0.008317
                  19,             0.02249,            0.061356,           0.0033079,             0.84748,             0.82509,             0.88967,             0.66176,            0.026148,            0.047105,           0.0059973,            0.008218,            0.008218,            0.008218
                  20,            0.022276,            0.062031,           0.0031325,              0.8665,             0.85741,             0.90134,             0.66042,            0.025912,            0.046471,           0.0039888,            0.008119,            0.008119,            0.008119
                  21,            0.022238,             0.06169,            0.002913,             0.78643,             0.85454,             0.87884,             0.64907,            0.026047,            0.048257,           0.0048124,             0.00802,             0.00802,             0.00802
                  22,            0.021714,            0.061253,           0.0028835,             0.86888,             0.84336,              0.9071,             0.66609,            0.027316,             0.04943,           0.0034152,            0.007921,            0.007921,            0.007921
                  23,            0.021978,            0.060109,           0.0027245,              0.8463,             0.84237,             0.88864,             0.65691,            0.026582,            0.049943,           0.0050552,            0.007822,            0.007822,            0.007822
                  24,            0.021556,            0.060569,            0.002757,             0.84245,             0.85767,             0.89794,             0.67103,            0.026202,              0.0489,           0.0042946,            0.007723,            0.007723,            0.007723
                  25,            0.021403,            0.060593,           0.0027783,              0.8954,             0.80176,             0.90179,             0.66433,             0.02562,            0.046427,            0.004354,            0.007624,            0.007624,            0.007624
                  26,            0.021364,            0.060089,            0.002504,             0.87344,             0.81846,              0.9009,              0.6674,            0.026993,             0.05102,           0.0054201,            0.007525,            0.007525,            0.007525
