               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082758,            0.030066,            0.022157,             0.26392,              0.4274,             0.25095,             0.07823,            0.058571,            0.017461,            0.012061,           0.0033145,           0.0033145,            0.070169
                   1,            0.057816,             0.02528,              0.0136,             0.41936,             0.66094,             0.46551,             0.18147,             0.05172,            0.015502,           0.0068421,            0.006582,            0.006582,            0.040104
                   2,            0.053105,            0.024381,           0.0090857,             0.39383,             0.64948,             0.41212,             0.13244,            0.053742,            0.013778,           0.0082131,           0.0097835,           0.0097835,           0.0099719
                   3,            0.044891,            0.021482,           0.0072214,             0.81984,             0.76474,              0.8548,             0.49715,            0.036266,            0.011367,           0.0043962,            0.009703,            0.009703,            0.009703
                   4,            0.038171,            0.018525,            0.005566,             0.79551,             0.77226,              0.8091,             0.48864,            0.032871,            0.010052,            0.007009,            0.009703,            0.009703,            0.009703
                   5,            0.034884,            0.017453,           0.0054315,             0.83049,              0.8242,             0.88162,             0.55634,            0.031916,           0.0098682,           0.0032314,            0.009604,            0.009604,            0.009604
                   6,            0.032971,            0.016574,           0.0047864,             0.88285,             0.82726,              0.8923,             0.57433,            0.031275,           0.0097107,           0.0039576,            0.009505,            0.009505,            0.009505
                   7,            0.030885,            0.016029,           0.0043072,             0.82355,             0.78663,             0.86846,             0.57926,            0.030827,           0.0091149,           0.0060454,            0.009406,            0.009406,            0.009406
                   8,            0.030236,            0.015887,           0.0040564,             0.87997,              0.8388,             0.89732,             0.61627,            0.029591,           0.0091698,           0.0040761,            0.009307,            0.009307,            0.009307
                   9,            0.029144,            0.015253,           0.0038318,             0.81662,             0.84354,             0.88809,             0.61652,            0.028338,           0.0088344,           0.0050005,            0.009208,            0.009208,            0.009208
                  10,            0.028152,            0.014944,           0.0035382,             0.83624,             0.86175,             0.88394,             0.62356,             0.02879,            0.008595,           0.0044655,            0.009109,            0.009109,            0.009109
                  11,            0.027974,            0.014741,           0.0033431,             0.84656,             0.84517,             0.89711,             0.63548,            0.027588,           0.0088452,           0.0041917,             0.00901,             0.00901,             0.00901
                  12,            0.027095,            0.014241,           0.0034263,             0.89279,             0.86143,             0.91727,              0.6483,             0.02844,           0.0088184,           0.0034593,            0.008911,            0.008911,            0.008911
                  13,            0.026618,            0.013923,           0.0032653,             0.83846,              0.8049,             0.89216,             0.63105,            0.027767,           0.0087058,           0.0055294,            0.008812,            0.008812,            0.008812
                  14,            0.026219,            0.014079,           0.0030798,             0.84026,             0.83028,             0.88411,             0.61709,             0.02932,           0.0088048,           0.0051665,            0.008713,            0.008713,            0.008713
                  15,            0.025039,            0.013853,           0.0029241,             0.86092,             0.84914,             0.89662,             0.63871,            0.028571,           0.0086198,           0.0042049,            0.008614,            0.008614,            0.008614
                  16,            0.025385,            0.013431,           0.0027479,             0.87869,             0.82571,             0.89318,             0.62593,            0.028961,           0.0087689,           0.0040859,            0.008515,            0.008515,            0.008515
                  17,            0.024901,            0.013627,           0.0028442,             0.81212,             0.84764,             0.88094,             0.62621,            0.027931,           0.0087316,           0.0045145,            0.008416,            0.008416,            0.008416
                  18,            0.024565,            0.013483,           0.0026574,             0.85198,             0.83936,             0.89857,             0.64275,            0.028844,           0.0086165,           0.0052617,            0.008317,            0.008317,            0.008317
                  19,            0.023926,            0.013031,            0.002819,             0.85616,             0.87665,             0.91321,             0.65761,             0.02859,           0.0084946,            0.004031,            0.008218,            0.008218,            0.008218
                  20,            0.024134,            0.012973,            0.002471,             0.83891,             0.81382,             0.86938,             0.61359,            0.028563,           0.0086175,           0.0060056,            0.008119,            0.008119,            0.008119
                  21,             0.02388,            0.013062,           0.0024492,             0.88583,             0.85191,              0.9138,             0.65544,            0.028398,           0.0085933,           0.0040712,             0.00802,             0.00802,             0.00802
                  22,            0.023555,            0.012667,           0.0024407,             0.83248,             0.84695,             0.86472,              0.6165,            0.027763,           0.0084165,            0.005224,            0.007921,            0.007921,            0.007921
                  23,            0.023338,            0.012492,           0.0025439,             0.83111,             0.87203,             0.90909,             0.66125,            0.027629,           0.0085671,           0.0044529,            0.007822,            0.007822,            0.007822
                  24,            0.022898,             0.01248,           0.0022528,             0.85345,              0.9004,             0.91174,             0.66114,            0.027355,           0.0084888,            0.003655,            0.007723,            0.007723,            0.007723
                  25,            0.023216,             0.01262,           0.0022864,             0.80265,             0.84321,             0.88284,             0.63872,            0.027929,            0.008618,           0.0057066,            0.007624,            0.007624,            0.007624
                  26,            0.022454,            0.012278,            0.002057,             0.84691,              0.8855,              0.9067,             0.66054,            0.028573,           0.0084503,           0.0055877,            0.007525,            0.007525,            0.007525
                  27,            0.022275,            0.012135,           0.0021149,             0.82456,              0.8281,             0.86488,             0.63482,            0.027763,           0.0085963,           0.0071247,            0.007426,            0.007426,            0.007426
                  28,            0.022372,            0.012144,           0.0018673,             0.85493,             0.87704,             0.90683,             0.66043,            0.027547,           0.0086374,           0.0037733,            0.007327,            0.007327,            0.007327
                  29,            0.021909,            0.011953,           0.0022991,             0.85442,             0.84109,              0.8838,             0.64795,            0.028211,           0.0085032,           0.0079527,            0.007228,            0.007228,            0.007228
                  30,            0.021675,            0.012017,           0.0021259,             0.83185,             0.87294,             0.88612,             0.64715,             0.02806,           0.0086432,           0.0054064,            0.007129,            0.007129,            0.007129
                  31,            0.021685,            0.012067,           0.0019626,             0.85944,             0.86125,             0.88353,             0.64016,             0.02752,            0.008466,           0.0060187,             0.00703,             0.00703,             0.00703
                  32,            0.021545,            0.012177,           0.0020293,               0.893,             0.89915,             0.92672,             0.68348,            0.027607,           0.0084856,           0.0034409,            0.006931,            0.006931,            0.006931
                  33,            0.021189,            0.011873,           0.0018162,             0.80067,             0.85755,             0.86119,              0.6287,            0.026869,           0.0086107,           0.0062929,            0.006832,            0.006832,            0.006832
                  34,             0.02118,            0.012224,           0.0018169,             0.81189,             0.83458,             0.88473,              0.6413,            0.027647,            0.008596,           0.0064667,            0.006733,            0.006733,            0.006733
                  35,            0.020936,            0.011752,           0.0016753,             0.81959,             0.81007,             0.86083,             0.62716,            0.027784,           0.0085099,           0.0053404,            0.006634,            0.006634,            0.006634
                  36,            0.020551,            0.011455,           0.0015758,              0.8103,             0.89022,             0.88624,             0.64764,            0.027525,           0.0085293,           0.0058349,            0.006535,            0.006535,            0.006535
                  37,            0.020745,            0.011491,           0.0016709,             0.84901,             0.86543,             0.89071,             0.64419,            0.027781,            0.008667,           0.0046786,            0.006436,            0.006436,            0.006436
                  38,            0.020497,            0.011595,           0.0015209,             0.84733,             0.86029,             0.90544,             0.66475,              0.0274,           0.0085419,           0.0055677,            0.006337,            0.006337,            0.006337
                  39,             0.02062,            0.011276,           0.0016344,             0.88158,             0.85563,             0.90288,             0.65998,            0.027136,           0.0084805,           0.0049037,            0.006238,            0.006238,            0.006238
                  40,            0.020101,            0.011339,           0.0016056,             0.89122,             0.85202,             0.91614,             0.67453,            0.027487,           0.0085153,              0.0046,            0.006139,            0.006139,            0.006139
                  41,            0.020029,            0.011231,           0.0015535,             0.80308,             0.85535,             0.88326,             0.64091,            0.027842,           0.0085714,            0.006496,             0.00604,             0.00604,             0.00604
                  42,            0.019872,            0.011139,           0.0016163,             0.83864,             0.84669,             0.88423,             0.64099,            0.027603,           0.0088298,           0.0053413,            0.005941,            0.005941,            0.005941
                  43,            0.019847,            0.011172,           0.0014922,             0.87623,             0.84934,             0.90562,             0.66433,            0.028621,           0.0088868,           0.0051378,            0.005842,            0.005842,            0.005842
                  44,            0.019881,            0.011461,           0.0013011,             0.84869,             0.85005,             0.88825,             0.64756,            0.027366,           0.0086874,           0.0063086,            0.005743,            0.005743,            0.005743
                  45,            0.019479,            0.010931,           0.0013562,             0.80617,             0.87889,              0.8808,             0.64213,            0.027512,           0.0087478,            0.006462,            0.005644,            0.005644,            0.005644
                  46,             0.01934,            0.011124,           0.0014409,             0.81355,             0.86288,             0.87645,             0.63955,            0.027024,           0.0086151,           0.0060622,            0.005545,            0.005545,            0.005545
                  47,             0.01916,            0.011064,           0.0012827,             0.89896,             0.88432,             0.92226,             0.68149,            0.027106,           0.0087639,           0.0036197,            0.005446,            0.005446,            0.005446
                  48,            0.019193,             0.01096,           0.0013061,             0.86105,             0.82679,             0.89601,             0.65292,            0.027527,           0.0086944,           0.0048339,            0.005347,            0.005347,            0.005347
                  49,            0.019233,            0.010964,           0.0013558,             0.80635,             0.89869,             0.89554,             0.65564,             0.02753,           0.0086328,           0.0050455,            0.005248,            0.005248,            0.005248
                  50,            0.019059,            0.010976,           0.0012124,              0.8516,             0.85562,             0.90661,             0.66877,            0.027441,            0.008744,           0.0054996,            0.005149,            0.005149,            0.005149
                  51,            0.018734,            0.010859,           0.0013867,             0.83847,              0.8452,             0.88478,              0.6486,            0.028365,           0.0089644,           0.0054312,             0.00505,             0.00505,             0.00505
                  52,            0.018451,             0.01076,           0.0011266,             0.84086,             0.87723,              0.8957,             0.65646,            0.027949,           0.0087341,           0.0050721,            0.004951,            0.004951,            0.004951
                  53,            0.018724,            0.010491,           0.0010644,             0.80499,             0.90472,             0.88456,             0.64857,            0.027517,           0.0086548,           0.0061949,            0.004852,            0.004852,            0.004852
                  54,             0.01868,            0.010794,             0.00133,              0.8524,             0.88433,             0.90031,             0.66209,            0.027762,           0.0087511,           0.0053865,            0.004753,            0.004753,            0.004753
                  55,            0.018377,            0.010464,           0.0014232,             0.86906,             0.88646,              0.9114,             0.67281,            0.027598,           0.0086981,           0.0055316,            0.004654,            0.004654,            0.004654
                  56,            0.018443,            0.010425,           0.0011759,             0.75488,             0.81401,             0.82603,             0.60183,            0.028255,           0.0086889,           0.0085181,            0.004555,            0.004555,            0.004555
                  57,            0.018139,            0.010409,           0.0011424,             0.83968,             0.80862,             0.86075,             0.62713,            0.027976,            0.008877,           0.0064596,            0.004456,            0.004456,            0.004456
                  58,            0.018224,            0.010501,           0.0010854,             0.88184,             0.86715,             0.90916,             0.66318,            0.028263,            0.008935,           0.0051985,            0.004357,            0.004357,            0.004357
                  59,            0.017817,            0.010486,           0.0009341,             0.85983,             0.85287,             0.89418,             0.65867,             0.02766,           0.0088565,            0.005097,            0.004258,            0.004258,            0.004258
                  60,            0.017722,            0.010266,           0.0010165,             0.83967,             0.85858,             0.89418,             0.66338,            0.027618,           0.0088304,           0.0064999,            0.004159,            0.004159,            0.004159
                  61,            0.017876,            0.010357,           0.0010066,             0.85753,             0.87076,             0.89787,             0.66435,            0.027927,           0.0088903,            0.005757,             0.00406,             0.00406,             0.00406
                  62,            0.017703,            0.010181,          0.00088507,             0.87426,             0.86469,             0.91398,              0.6724,            0.027753,           0.0090944,           0.0047864,            0.003961,            0.003961,            0.003961
                  63,              0.0175,            0.010253,          0.00096873,              0.8333,             0.84751,             0.89766,             0.66981,            0.028062,            0.009045,           0.0077659,            0.003862,            0.003862,            0.003862
                  64,            0.017252,            0.010118,          0.00092251,             0.85028,             0.80242,             0.87146,             0.64117,            0.028099,            0.008964,           0.0075546,            0.003763,            0.003763,            0.003763
                  65,            0.017418,            0.010173,          0.00096802,             0.88134,             0.86677,             0.91291,             0.67587,            0.028176,           0.0090897,           0.0055327,            0.003664,            0.003664,            0.003664
                  66,            0.017346,            0.010346,           0.0007454,             0.84009,             0.85509,             0.88327,             0.64879,             0.02773,           0.0089763,           0.0061232,            0.003565,            0.003565,            0.003565
                  67,            0.017008,           0.0099819,          0.00093562,             0.87276,             0.88161,             0.91229,             0.67891,            0.028007,           0.0090134,           0.0060132,            0.003466,            0.003466,            0.003466
                  68,            0.017155,           0.0097382,          0.00085717,             0.77424,             0.87003,             0.86629,             0.63414,            0.027933,           0.0090691,           0.0074943,            0.003367,            0.003367,            0.003367
                  69,            0.016845,            0.009937,          0.00078728,             0.87871,             0.88443,              0.9079,             0.67081,            0.028004,           0.0090711,           0.0053149,            0.003268,            0.003268,            0.003268
                  70,            0.016994,           0.0099268,           0.0007388,             0.89822,             0.84591,             0.91182,              0.6778,            0.027797,           0.0091329,           0.0050832,            0.003169,            0.003169,            0.003169
                  71,             0.01657,           0.0099441,          0.00068169,             0.86285,             0.83364,             0.88404,             0.65467,             0.02802,           0.0093259,           0.0063904,             0.00307,             0.00307,             0.00307
                  72,            0.016637,           0.0095958,          0.00064505,             0.84635,             0.87696,             0.90218,             0.66966,            0.027515,           0.0090413,           0.0057712,            0.002971,            0.002971,            0.002971
                  73,            0.016505,           0.0097302,           0.0007969,             0.86792,             0.83461,             0.89791,             0.66761,            0.027984,            0.009237,           0.0062211,            0.002872,            0.002872,            0.002872
                  74,            0.016649,           0.0098271,          0.00088845,             0.87106,             0.84868,             0.89813,             0.67112,            0.027988,            0.009071,           0.0066706,            0.002773,            0.002773,            0.002773
                  75,            0.016451,            0.009687,          0.00075949,             0.87014,             0.84315,             0.88751,             0.66195,            0.028248,           0.0092117,           0.0074702,            0.002674,            0.002674,            0.002674
                  76,            0.016189,           0.0095609,          0.00067741,             0.87457,             0.84765,             0.88855,             0.65847,            0.028144,           0.0091511,           0.0065947,            0.002575,            0.002575,            0.002575
                  77,            0.016245,           0.0097229,          0.00069746,             0.79954,             0.85817,             0.86916,             0.63742,            0.027956,            0.009245,           0.0073925,            0.002476,            0.002476,            0.002476
                  78,            0.016166,           0.0094126,          0.00073843,             0.83978,             0.85625,             0.88782,              0.6554,            0.028132,           0.0092851,           0.0084253,            0.002377,            0.002377,            0.002377
                  79,            0.016163,           0.0092946,          0.00063651,             0.86724,             0.84202,              0.8907,             0.65615,            0.028298,            0.009244,           0.0069338,            0.002278,            0.002278,            0.002278
                  80,            0.016062,           0.0094302,          0.00058478,             0.85597,             0.84909,             0.87706,             0.64454,            0.028383,           0.0093719,           0.0074673,            0.002179,            0.002179,            0.002179
                  81,            0.015926,           0.0094569,          0.00061864,             0.87518,             0.87049,             0.90351,             0.67426,            0.027915,           0.0093539,           0.0064684,             0.00208,             0.00208,             0.00208
                  82,            0.015797,           0.0093587,          0.00060467,             0.86603,             0.85625,             0.89151,             0.66246,            0.028141,           0.0093542,           0.0072034,            0.001981,            0.001981,            0.001981
                  83,            0.015636,           0.0091595,          0.00064444,             0.89714,             0.85245,              0.8991,             0.66736,            0.028062,           0.0093405,           0.0058206,            0.001882,            0.001882,            0.001882
                  84,             0.01565,           0.0092627,          0.00058302,             0.90636,              0.8775,             0.91609,              0.6842,            0.028162,           0.0093795,           0.0051374,            0.001783,            0.001783,            0.001783
                  85,            0.015712,           0.0091574,          0.00054087,             0.87568,             0.87894,             0.90194,             0.67345,            0.028243,           0.0093819,           0.0065989,            0.001684,            0.001684,            0.001684
                  86,            0.015624,            0.009188,           0.0005554,             0.86172,             0.86334,             0.88627,             0.65683,            0.028196,           0.0095434,           0.0071183,            0.001585,            0.001585,            0.001585
                  87,            0.015356,           0.0091657,          0.00051139,             0.88103,             0.87067,             0.90585,             0.67553,            0.028068,           0.0095613,           0.0066059,            0.001486,            0.001486,            0.001486
                  88,            0.015424,           0.0090748,          0.00049328,             0.86283,             0.87241,             0.89513,             0.66517,            0.028335,           0.0095526,            0.007582,            0.001387,            0.001387,            0.001387
                  89,            0.015191,           0.0089954,          0.00049155,              0.8581,             0.87872,             0.89857,             0.67007,            0.028388,            0.009492,           0.0069347,            0.001288,            0.001288,            0.001288
                  90,             0.01527,           0.0088453,          0.00053073,             0.85652,             0.86684,             0.89413,             0.66679,            0.028163,           0.0095463,           0.0078579,            0.001189,            0.001189,            0.001189
                  91,            0.015144,           0.0088788,          0.00053559,             0.85952,             0.89115,             0.89335,             0.66684,            0.028091,           0.0095233,           0.0070787,             0.00109,             0.00109,             0.00109
                  92,            0.015015,           0.0088908,          0.00051272,             0.84867,             0.87987,             0.88737,             0.65983,            0.028173,            0.009606,           0.0074513,            0.000991,            0.000991,            0.000991
                  93,             0.01507,           0.0087704,          0.00047152,             0.84444,             0.88524,             0.88183,             0.65616,            0.028085,           0.0096395,           0.0077916,            0.000892,            0.000892,            0.000892
                  94,            0.015093,           0.0091926,           0.0004381,             0.84586,             0.88735,             0.88807,             0.65938,            0.028291,           0.0096767,           0.0071821,            0.000793,            0.000793,            0.000793
                  95,            0.014987,           0.0088765,          0.00046889,             0.86394,             0.88165,             0.89447,             0.66793,            0.028117,           0.0096472,           0.0074085,            0.000694,            0.000694,            0.000694
                  96,            0.014817,           0.0089622,          0.00041613,             0.85943,             0.88163,             0.89462,             0.66849,             0.02809,           0.0096405,           0.0073158,            0.000595,            0.000595,            0.000595
                  97,            0.014712,           0.0087188,          0.00046661,             0.85713,             0.88276,             0.89739,              0.6683,            0.028236,           0.0096647,           0.0072098,            0.000496,            0.000496,            0.000496
                  98,            0.014946,           0.0091078,          0.00052057,             0.85126,             0.85281,             0.88311,             0.65479,            0.028306,           0.0096543,           0.0078978,            0.000397,            0.000397,            0.000397
                  99,            0.015009,           0.0090212,          0.00045916,             0.84106,             0.89088,              0.8892,             0.66051,            0.028369,           0.0096722,           0.0074525,            0.000298,            0.000298,            0.000298
