               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084823,            0.029518,            0.023334,             0.39932,             0.51702,             0.35274,             0.13132,            0.063588,            0.017076,            0.016721,           0.0032959,           0.0032959,            0.070337
                   1,            0.059493,             0.02477,            0.013524,             0.46411,             0.55984,             0.47072,             0.15692,             0.05085,            0.015202,           0.0060422,           0.0065636,           0.0065636,            0.040271
                   2,            0.053309,            0.023434,           0.0087669,             0.47021,             0.63261,             0.54915,             0.23839,            0.048636,            0.015217,             0.00506,           0.0097653,           0.0097653,             0.01014
                   3,            0.044391,            0.020769,           0.0068501,             0.78259,             0.77908,             0.82604,             0.40366,            0.036088,            0.012576,           0.0045944,            0.009703,            0.009703,            0.009703
                   4,            0.037646,            0.018906,            0.005495,             0.74203,             0.83753,             0.80717,             0.48851,            0.033576,            0.010307,           0.0035933,            0.009703,            0.009703,            0.009703
                   5,            0.034081,            0.017191,            0.005026,             0.83182,             0.81568,             0.88353,             0.57974,            0.029932,            0.009596,           0.0035594,            0.009604,            0.009604,            0.009604
                   6,            0.032414,            0.016352,           0.0042404,             0.81266,             0.86533,             0.88777,             0.59673,            0.030059,           0.0093066,           0.0034544,            0.009505,            0.009505,            0.009505
                   7,            0.030379,            0.015739,           0.0040177,             0.85051,             0.85354,             0.90101,              0.6066,            0.028939,            0.009365,           0.0032758,            0.009406,            0.009406,            0.009406
                   8,             0.02932,            0.015011,           0.0039296,             0.82614,             0.77243,             0.86474,             0.56879,            0.030604,           0.0091232,           0.0048117,            0.009307,            0.009307,            0.009307
                   9,            0.028789,            0.014741,           0.0035102,             0.81465,             0.81257,             0.88164,             0.60008,             0.02846,           0.0088429,           0.0045751,            0.009208,            0.009208,            0.009208
                  10,            0.028124,            0.014893,           0.0034354,             0.86075,             0.84936,             0.91003,             0.61728,            0.029068,           0.0087952,           0.0032789,            0.009109,            0.009109,            0.009109
                  11,            0.027407,            0.014134,           0.0032998,             0.81373,             0.84667,             0.88546,             0.61456,            0.028524,           0.0087766,           0.0043437,             0.00901,             0.00901,             0.00901
                  12,            0.026842,            0.014199,           0.0032148,              0.7888,             0.86814,             0.87103,             0.61426,            0.027579,           0.0088442,           0.0046634,            0.008911,            0.008911,            0.008911
                  13,            0.026031,            0.013745,           0.0029307,             0.87837,             0.82819,             0.88337,             0.62003,            0.027658,           0.0087683,           0.0036592,            0.008812,            0.008812,            0.008812
                  14,             0.02567,            0.013362,           0.0027575,             0.87994,             0.82625,             0.89856,             0.62799,            0.028681,            0.008501,           0.0037767,            0.008713,            0.008713,            0.008713
                  15,            0.025298,            0.013744,           0.0028859,             0.85036,             0.83606,             0.89326,             0.64096,            0.027484,           0.0085547,           0.0044849,            0.008614,            0.008614,            0.008614
                  16,            0.025166,            0.013132,           0.0024749,             0.88265,             0.85534,             0.90443,             0.65125,            0.027983,           0.0088389,           0.0032954,            0.008515,            0.008515,            0.008515
                  17,            0.024217,            0.013246,           0.0026372,             0.83359,             0.84867,              0.8812,             0.62737,             0.02751,           0.0086939,           0.0040305,            0.008416,            0.008416,            0.008416
