               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077584,             0.11082,            0.021063,              0.6748,              0.6068,             0.66258,             0.33801,            0.048437,             0.05982,           0.0099658,           0.0032959,           0.0032959,            0.070337
                   1,            0.056411,            0.093195,            0.011381,             0.48356,             0.67015,             0.46124,             0.16635,            0.057988,            0.058615,           0.0059863,           0.0065636,           0.0065636,            0.040271
                   2,             0.04868,            0.091935,            0.009091,             0.67897,             0.75608,             0.74384,              0.4143,            0.041872,            0.054502,           0.0057387,           0.0097653,           0.0097653,             0.01014
                   3,            0.039885,            0.085348,           0.0077736,             0.77122,             0.78849,              0.8262,             0.53437,             0.03247,            0.051528,           0.0073074,            0.009703,            0.009703,            0.009703
                   4,            0.033611,            0.080426,           0.0066357,             0.80285,             0.84159,             0.88039,             0.59852,            0.032696,            0.049139,           0.0055812,            0.009703,            0.009703,            0.009703
                   5,            0.031838,            0.078924,           0.0061412,              0.7936,             0.85398,             0.86506,             0.61014,            0.028558,            0.047856,           0.0056072,            0.009604,            0.009604,            0.009604
                   6,            0.028985,            0.071819,           0.0055196,             0.82102,             0.82449,             0.89138,             0.63177,            0.028514,              0.0484,           0.0058066,            0.009505,            0.009505,            0.009505
                   7,            0.028164,            0.073672,           0.0051256,             0.80248,             0.79484,             0.85101,             0.61169,            0.026898,            0.048454,           0.0068157,            0.009406,            0.009406,            0.009406
                   8,            0.027245,            0.070782,           0.0047889,             0.83106,             0.84739,             0.87819,             0.62841,            0.027626,            0.048228,           0.0055343,            0.009307,            0.009307,            0.009307
                   9,            0.026114,            0.068512,           0.0044382,              0.8135,             0.80947,             0.86356,             0.61609,            0.026612,            0.046098,           0.0067325,            0.009208,            0.009208,            0.009208
                  10,            0.026366,            0.069477,           0.0043549,             0.85861,             0.85964,             0.88803,             0.63427,            0.028135,            0.046022,            0.004782,            0.009109,            0.009109,            0.009109
                  11,             0.02541,            0.067606,           0.0041844,             0.87661,             0.88806,             0.90241,             0.66149,            0.026543,            0.045845,           0.0039363,             0.00901,             0.00901,             0.00901
                  12,            0.024438,            0.067624,           0.0037955,              0.8778,             0.78751,             0.88139,               0.645,            0.027446,            0.048416,           0.0048068,            0.008911,            0.008911,            0.008911
                  13,            0.024376,            0.066096,            0.003581,             0.85522,             0.86175,             0.89827,             0.66799,            0.025513,             0.04523,           0.0048489,            0.008812,            0.008812,            0.008812
                  14,            0.024094,            0.067022,           0.0040097,             0.83328,             0.85528,             0.87335,             0.63729,              0.0259,            0.045745,           0.0054737,            0.008713,            0.008713,            0.008713
                  15,            0.023459,              0.0647,           0.0035345,             0.85054,             0.87303,              0.8857,             0.65594,            0.025518,            0.046519,           0.0048951,            0.008614,            0.008614,            0.008614
                  16,            0.023326,            0.064596,           0.0032995,             0.86221,             0.82421,             0.87859,             0.64996,            0.026302,             0.04695,           0.0048594,            0.008515,            0.008515,            0.008515
                  17,            0.022969,            0.063407,           0.0032946,             0.77759,             0.85365,             0.84867,             0.62421,            0.025492,            0.047671,           0.0087359,            0.008416,            0.008416,            0.008416
                  18,            0.023053,            0.063332,           0.0033144,             0.82771,             0.84781,             0.87748,             0.65487,            0.026087,            0.046597,           0.0059721,            0.008317,            0.008317,            0.008317
                  19,            0.022784,            0.062434,           0.0031632,             0.84901,             0.85748,              0.8779,             0.64069,            0.026449,            0.048178,           0.0051664,            0.008218,            0.008218,            0.008218
