               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077255,              0.1084,            0.021871,             0.51757,             0.58983,             0.54271,             0.25066,            0.047298,            0.060565,            0.010669,           0.0032959,           0.0032959,            0.070337
                   1,            0.056339,             0.09868,            0.011929,             0.56091,             0.62075,             0.61546,             0.26599,            0.048337,            0.059388,           0.0083242,           0.0065636,           0.0065636,            0.040271
                   2,            0.048748,            0.092477,           0.0095001,             0.57082,             0.74047,             0.66296,             0.33364,            0.042773,            0.056162,           0.0067035,           0.0097653,           0.0097653,             0.01014
                   3,            0.040062,            0.087845,           0.0084415,             0.84475,              0.7903,             0.87257,             0.56792,            0.031246,            0.055056,            0.004946,            0.009703,            0.009703,            0.009703
                   4,            0.034395,            0.084172,           0.0069223,             0.81283,             0.84491,             0.89983,             0.58925,            0.032281,            0.050661,            0.004632,            0.009703,            0.009703,            0.009703
                   5,            0.032063,            0.079796,           0.0063399,              0.8542,             0.84167,             0.89552,             0.61841,            0.029043,            0.049838,           0.0040322,            0.009604,            0.009604,            0.009604
                   6,             0.03151,            0.079366,           0.0058442,             0.79494,             0.82085,             0.87287,              0.5815,            0.031516,            0.049582,             0.00536,            0.009505,            0.009505,            0.009505
                   7,            0.029443,            0.075768,           0.0054979,             0.78339,             0.85686,             0.87831,             0.60241,            0.027799,            0.048088,           0.0058504,            0.009406,            0.009406,            0.009406
                   8,            0.028374,            0.073607,           0.0052705,             0.80507,             0.85988,             0.86194,             0.59793,            0.029325,            0.047232,           0.0059567,            0.009307,            0.009307,            0.009307
                   9,            0.027478,            0.072338,           0.0048276,             0.84947,             0.87312,             0.89089,             0.63704,            0.028649,            0.046924,            0.003841,            0.009208,            0.009208,            0.009208
                  10,            0.026661,            0.070817,             0.00497,             0.86621,             0.88711,             0.89943,             0.63576,            0.027609,            0.047646,           0.0041278,            0.009109,            0.009109,            0.009109
                  11,            0.025866,            0.069037,           0.0044243,             0.83994,             0.80918,             0.87578,             0.62797,            0.027368,             0.04871,             0.00564,             0.00901,             0.00901,             0.00901
                  12,            0.025742,            0.069314,           0.0040352,             0.84131,             0.87417,              0.8863,             0.64186,            0.027272,            0.046606,            0.005272,            0.008911,            0.008911,            0.008911
                  13,            0.025787,            0.067708,           0.0040836,              0.8561,             0.82964,             0.88345,              0.6374,            0.026806,            0.045629,           0.0047717,            0.008812,            0.008812,            0.008812
                  14,            0.024454,            0.067758,               0.004,             0.85247,             0.81379,             0.87778,             0.63372,            0.026551,            0.046645,           0.0056353,            0.008713,            0.008713,            0.008713
                  15,            0.024404,            0.067259,           0.0038341,             0.84502,             0.86021,             0.90543,              0.6706,            0.025872,            0.044776,           0.0047957,            0.008614,            0.008614,            0.008614
                  16,             0.02405,             0.06706,           0.0035737,             0.83752,             0.83751,             0.87811,             0.64256,            0.025975,            0.045986,           0.0051604,            0.008515,            0.008515,            0.008515
                  17,            0.023863,            0.066109,           0.0037215,             0.84557,             0.86371,             0.90226,             0.66619,            0.025524,            0.045423,           0.0042798,            0.008416,            0.008416,            0.008416
                  18,            0.023594,            0.065141,            0.003549,              0.8346,             0.89321,             0.87099,             0.63139,            0.026038,            0.047086,           0.0050732,            0.008317,            0.008317,            0.008317
                  19,            0.023046,            0.064148,            0.003477,             0.86605,             0.83869,             0.89586,             0.65806,            0.026153,            0.046558,           0.0049798,            0.008218,            0.008218,            0.008218
                  20,            0.023193,            0.064847,            0.003375,             0.81395,             0.86052,             0.88626,              0.6355,            0.026991,            0.046218,            0.005527,            0.008119,            0.008119,            0.008119
                  21,            0.022505,              0.0647,           0.0032116,             0.84997,             0.83817,             0.88272,             0.65029,            0.025736,            0.045653,           0.0054598,             0.00802,             0.00802,             0.00802
                  22,            0.022839,            0.064617,           0.0032347,             0.88577,               0.852,             0.90735,             0.66322,            0.025676,            0.045374,           0.0046567,            0.007921,            0.007921,            0.007921
                  23,            0.022413,            0.063726,           0.0032089,             0.86693,             0.83927,             0.89004,             0.65399,            0.025559,            0.046323,           0.0051737,            0.007822,            0.007822,            0.007822
                  24,            0.021766,            0.061971,           0.0031011,             0.85715,             0.82546,             0.86932,             0.63957,            0.025872,             0.04598,           0.0054901,            0.007723,            0.007723,            0.007723
                  25,            0.021844,            0.061763,           0.0030385,             0.85523,             0.82087,             0.87764,             0.64804,            0.025892,            0.047017,           0.0058158,            0.007624,            0.007624,            0.007624
                  26,            0.022083,            0.062103,           0.0031312,             0.85236,             0.83231,             0.88793,             0.66177,            0.025277,            0.045581,           0.0046881,            0.007525,            0.007525,            0.007525
                  27,            0.021671,            0.061858,           0.0030536,             0.83803,             0.82786,             0.87025,             0.64769,            0.025656,            0.045761,           0.0059573,            0.007426,            0.007426,            0.007426
                  28,            0.021483,            0.060529,           0.0028088,             0.86966,             0.81907,             0.87996,             0.65581,            0.025581,            0.046988,           0.0055854,            0.007327,            0.007327,            0.007327
                  29,            0.021167,            0.060607,           0.0028526,             0.84286,             0.85558,             0.90203,             0.67153,              0.0257,            0.047509,           0.0047605,            0.007228,            0.007228,            0.007228
