               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081799,             0.11216,            0.023167,             0.39175,             0.56328,             0.43888,              0.1603,             0.05942,            0.067021,               0.012,           0.0032959,           0.0032959,            0.070337
                   1,            0.060821,             0.10413,            0.013546,             0.40393,             0.57012,             0.43692,             0.18834,            0.063016,            0.057982,           0.0086144,           0.0065636,           0.0065636,            0.040271
                   2,            0.050954,             0.10083,            0.010552,              0.5606,             0.70339,             0.67821,             0.38253,            0.048496,            0.058564,           0.0074149,           0.0097653,           0.0097653,             0.01014
                   3,            0.042708,            0.095698,           0.0087776,             0.69781,             0.77077,             0.81055,             0.48715,            0.035964,            0.066108,            0.006015,            0.009703,            0.009703,            0.009703
                   4,            0.036616,            0.087094,           0.0078906,             0.79615,             0.78934,             0.84386,             0.54809,             0.03247,             0.05057,           0.0064195,            0.009703,            0.009703,            0.009703
                   5,            0.033651,            0.086645,           0.0070831,             0.80848,             0.85476,             0.87791,             0.57917,            0.030834,            0.050089,           0.0051459,            0.009604,            0.009604,            0.009604
                   6,            0.032343,            0.082733,           0.0064723,             0.76624,             0.84485,              0.8628,             0.58702,            0.030017,            0.049087,           0.0055612,            0.009505,            0.009505,            0.009505
                   7,            0.031042,            0.080193,           0.0061888,             0.88231,             0.79057,             0.90096,             0.61431,            0.029341,            0.049512,           0.0042906,            0.009406,            0.009406,            0.009406
                   8,            0.029732,            0.080531,           0.0054905,             0.80073,              0.8745,              0.9022,             0.62463,             0.03051,            0.049636,           0.0046437,            0.009307,            0.009307,            0.009307
                   9,            0.029983,            0.078163,           0.0057452,             0.84508,             0.84626,             0.90398,             0.63758,            0.028515,            0.047839,            0.004643,            0.009208,            0.009208,            0.009208
                  10,              0.0284,            0.076832,           0.0051906,             0.79498,              0.8462,             0.86018,             0.60247,            0.029024,            0.047862,           0.0062582,            0.009109,            0.009109,            0.009109
                  11,            0.028954,            0.077224,            0.005223,             0.84662,             0.86405,             0.89531,             0.62117,            0.028034,            0.047002,           0.0049256,             0.00901,             0.00901,             0.00901
                  12,            0.027457,            0.075173,           0.0048403,             0.81709,             0.77656,             0.85606,             0.58891,            0.028425,            0.049003,           0.0063941,            0.008911,            0.008911,            0.008911
                  13,            0.026874,            0.074445,           0.0046822,             0.85465,             0.83698,             0.90229,             0.64595,            0.027256,             0.04669,           0.0051282,            0.008812,            0.008812,            0.008812
                  14,            0.027141,            0.073443,             0.00419,             0.82254,              0.8274,             0.90384,             0.63084,            0.029819,            0.047926,           0.0047536,            0.008713,            0.008713,            0.008713
                  15,             0.02673,            0.072817,           0.0044309,             0.81753,             0.85021,             0.87771,             0.61003,            0.028559,            0.047524,           0.0054838,            0.008614,            0.008614,            0.008614
                  16,            0.026403,            0.072678,           0.0042941,             0.83984,             0.83089,             0.88093,             0.62409,            0.027417,            0.047389,           0.0051527,            0.008515,            0.008515,            0.008515
                  17,            0.026083,            0.071222,           0.0042888,             0.86751,             0.86241,             0.91164,               0.654,            0.027338,            0.046381,           0.0046198,            0.008416,            0.008416,            0.008416
                  18,             0.02529,            0.071227,            0.004245,              0.8556,             0.85872,              0.9128,             0.65281,             0.02798,            0.048006,           0.0050197,            0.008317,            0.008317,            0.008317
                  19,            0.025163,            0.070844,           0.0038361,             0.79874,             0.82398,             0.87167,             0.62136,            0.027611,            0.048125,           0.0070719,            0.008218,            0.008218,            0.008218
                  20,            0.025015,            0.068947,           0.0040355,             0.82074,             0.85367,             0.88208,             0.61884,            0.027968,            0.048136,           0.0049613,            0.008119,            0.008119,            0.008119
                  21,            0.025091,            0.069724,           0.0037447,             0.88574,              0.8439,             0.90141,             0.65112,            0.027185,            0.047656,           0.0044065,             0.00802,             0.00802,             0.00802
                  22,            0.024282,             0.06806,           0.0038808,             0.77854,             0.82834,              0.8756,             0.63679,            0.026867,            0.047525,           0.0071398,            0.007921,            0.007921,            0.007921
                  23,            0.024567,            0.068305,           0.0036478,             0.81757,             0.84439,             0.88267,             0.63119,            0.027053,            0.047322,            0.005832,            0.007822,            0.007822,            0.007822
                  24,            0.024887,            0.069297,           0.0034773,             0.81688,             0.81897,             0.87889,              0.6354,              0.0268,             0.04734,           0.0065861,            0.007723,            0.007723,            0.007723
                  25,            0.024135,            0.068566,           0.0036161,             0.81418,             0.84819,             0.88245,              0.6465,            0.026607,            0.046327,           0.0066162,            0.007624,            0.007624,            0.007624
                  26,            0.024108,            0.068492,           0.0035366,             0.86289,              0.8662,             0.89687,             0.64373,            0.026804,            0.047949,           0.0044558,            0.007525,            0.007525,            0.007525
                  27,            0.023807,            0.067085,           0.0034416,             0.83448,             0.78326,             0.88078,             0.63447,            0.026982,            0.048454,           0.0060426,            0.007426,            0.007426,            0.007426
                  28,            0.023323,            0.065378,           0.0035486,             0.81445,             0.83232,             0.88141,             0.63209,            0.027092,            0.048897,           0.0051005,            0.007327,            0.007327,            0.007327
                  29,            0.023713,            0.066251,           0.0034114,             0.86634,              0.7749,              0.8523,             0.59947,            0.027229,            0.048404,           0.0060991,            0.007228,            0.007228,            0.007228
                  30,            0.023325,            0.067666,           0.0032941,             0.83556,             0.83522,             0.89392,             0.65188,            0.026877,            0.046709,           0.0053077,            0.007129,            0.007129,            0.007129
                  31,            0.022992,             0.06468,           0.0033777,             0.86723,             0.83533,             0.90026,             0.66288,            0.026691,            0.049249,           0.0049007,             0.00703,             0.00703,             0.00703
                  32,            0.023192,            0.065858,           0.0031216,             0.82944,              0.8687,             0.89155,             0.64979,            0.026812,            0.047971,           0.0049144,            0.006931,            0.006931,            0.006931
                  33,            0.023154,            0.067301,           0.0030219,              0.8263,             0.84511,             0.86842,             0.62732,            0.026395,            0.048135,           0.0055767,            0.006832,            0.006832,            0.006832
                  34,            0.022574,            0.064784,           0.0031433,             0.79612,             0.86684,              0.8646,             0.63276,            0.026517,            0.048818,            0.005082,            0.006733,            0.006733,            0.006733
                  35,            0.022846,             0.06377,           0.0029689,             0.80338,             0.83531,             0.85448,             0.62077,            0.026364,            0.048366,           0.0063105,            0.006634,            0.006634,            0.006634
                  36,            0.022162,             0.06406,           0.0031031,             0.82938,             0.86729,             0.87457,             0.63015,            0.026661,            0.047317,           0.0054471,            0.006535,            0.006535,            0.006535
                  37,            0.022856,            0.064669,           0.0029258,             0.80087,             0.79182,             0.86003,             0.61794,            0.026267,            0.047804,           0.0064066,            0.006436,            0.006436,            0.006436
                  38,            0.022217,             0.06333,           0.0028931,             0.84662,             0.85545,             0.88725,              0.6366,            0.026405,            0.047458,           0.0048099,            0.006337,            0.006337,            0.006337
                  39,            0.022035,             0.06263,           0.0026874,             0.84524,             0.85029,               0.886,             0.64397,            0.026667,            0.047705,           0.0052616,            0.006238,            0.006238,            0.006238
                  40,            0.021981,            0.062651,           0.0026598,             0.82792,             0.85281,              0.8695,             0.63083,            0.026513,            0.047747,            0.005499,            0.006139,            0.006139,            0.006139
                  41,            0.022235,             0.06348,            0.002801,              0.8379,             0.87007,              0.9005,             0.65972,             0.02636,            0.047945,           0.0051715,             0.00604,             0.00604,             0.00604
                  42,            0.021738,            0.061383,           0.0027073,             0.80938,             0.84911,             0.83633,             0.60839,            0.026728,            0.049108,           0.0065988,            0.005941,            0.005941,            0.005941
                  43,            0.021816,            0.063083,           0.0025197,             0.84661,             0.85108,             0.89467,             0.66069,            0.026353,            0.048101,           0.0053199,            0.005842,            0.005842,            0.005842
                  44,            0.021465,            0.061502,           0.0026954,               0.842,             0.79797,             0.87277,             0.63686,             0.02586,            0.047622,           0.0059045,            0.005743,            0.005743,            0.005743
                  45,            0.021481,            0.062664,           0.0026394,              0.8333,             0.84611,             0.88948,             0.65571,            0.026254,            0.047748,           0.0050025,            0.005644,            0.005644,            0.005644
                  46,             0.02141,            0.062404,           0.0025985,              0.8548,             0.83769,             0.88379,             0.65403,             0.02612,            0.048193,            0.005852,            0.005545,            0.005545,            0.005545
                  47,             0.02118,             0.06205,           0.0027135,             0.86093,             0.84356,             0.87726,             0.64519,            0.026192,            0.047458,           0.0058667,            0.005446,            0.005446,            0.005446
                  48,            0.021417,            0.061565,           0.0024035,             0.85827,             0.81436,             0.88514,             0.65629,            0.026277,            0.048501,           0.0051282,            0.005347,            0.005347,            0.005347
                  49,             0.02121,            0.061241,           0.0026182,             0.86366,             0.87617,             0.89516,             0.65822,            0.026058,             0.04791,           0.0047445,            0.005248,            0.005248,            0.005248
                  50,            0.021181,              0.0604,            0.002664,              0.8366,             0.83189,             0.87982,             0.64688,            0.026075,            0.048212,           0.0055294,            0.005149,            0.005149,            0.005149
                  51,             0.02093,            0.060754,           0.0025317,             0.80617,             0.85907,             0.85796,             0.63247,            0.026014,            0.047842,           0.0065176,             0.00505,             0.00505,             0.00505
                  52,            0.020887,             0.05999,           0.0023393,             0.82129,             0.87296,             0.88385,             0.65509,            0.026038,            0.048483,           0.0058579,            0.004951,            0.004951,            0.004951
                  53,            0.020668,            0.060424,           0.0024799,             0.75901,             0.84083,             0.84601,             0.62242,            0.026141,            0.048833,           0.0066716,            0.004852,            0.004852,            0.004852
                  54,            0.020761,            0.060094,           0.0022864,             0.86079,             0.82305,             0.89651,              0.6602,            0.025842,            0.047245,           0.0050277,            0.004753,            0.004753,            0.004753
                  55,            0.020529,            0.058677,           0.0022065,             0.84165,             0.83715,             0.87941,             0.65415,             0.02621,            0.048941,           0.0066156,            0.004654,            0.004654,            0.004654
                  56,            0.020704,             0.05862,           0.0023996,             0.84198,             0.84184,             0.87861,             0.64538,            0.026072,            0.049113,           0.0056594,            0.004555,            0.004555,            0.004555
                  57,            0.020376,            0.059907,           0.0021992,             0.87176,             0.81433,             0.88996,             0.65998,            0.025935,            0.048356,           0.0052525,            0.004456,            0.004456,            0.004456
                  58,            0.020454,            0.058531,           0.0023184,             0.84029,              0.8186,             0.87573,              0.6453,            0.026093,             0.04918,            0.006555,            0.004357,            0.004357,            0.004357
                  59,            0.020473,            0.059211,            0.002137,             0.86186,             0.82884,             0.88803,             0.65882,            0.025737,            0.047369,           0.0056368,            0.004258,            0.004258,            0.004258
                  60,             0.02024,            0.059241,           0.0022127,             0.80027,             0.83161,             0.85527,             0.63276,            0.025865,            0.048106,           0.0066988,            0.004159,            0.004159,            0.004159
                  61,            0.020198,            0.058536,           0.0022775,               0.855,             0.83474,             0.87461,             0.64572,            0.025922,            0.048149,           0.0056846,             0.00406,             0.00406,             0.00406
                  62,            0.020063,            0.059495,           0.0022218,             0.80699,             0.84045,             0.88224,               0.655,             0.02591,            0.047617,           0.0058648,            0.003961,            0.003961,            0.003961
                  63,            0.019997,             0.05783,           0.0020925,             0.84622,               0.845,             0.87138,              0.6444,            0.025905,            0.048743,           0.0060035,            0.003862,            0.003862,            0.003862
                  64,            0.019912,            0.058345,           0.0019445,             0.86049,              0.8325,             0.89269,             0.66718,            0.025584,            0.047431,           0.0056019,            0.003763,            0.003763,            0.003763
                  65,            0.019908,            0.058054,           0.0021341,             0.83273,             0.81236,             0.87343,             0.65076,            0.025764,            0.048544,           0.0067479,            0.003664,            0.003664,            0.003664
                  66,             0.01989,            0.057343,           0.0020422,             0.81942,             0.82946,             0.86825,             0.64257,            0.026026,            0.049149,           0.0071265,            0.003565,            0.003565,            0.003565
                  67,            0.019902,            0.058409,           0.0018578,             0.81742,             0.85493,             0.86782,             0.64389,            0.026107,            0.049105,           0.0065696,            0.003466,            0.003466,            0.003466
                  68,            0.019665,            0.056926,           0.0019292,              0.8261,             0.86142,             0.86974,             0.64043,            0.026213,            0.049241,           0.0062507,            0.003367,            0.003367,            0.003367
                  69,            0.019637,            0.058558,           0.0018024,             0.86172,             0.84364,             0.88185,             0.65545,            0.025754,            0.048605,           0.0064263,            0.003268,            0.003268,            0.003268
                  70,            0.019529,             0.05726,           0.0019621,             0.79256,             0.85196,             0.86518,             0.63595,             0.02571,            0.048987,           0.0060512,            0.003169,            0.003169,            0.003169
                  71,            0.019538,            0.057273,           0.0017082,             0.81749,             0.80019,             0.87758,             0.65164,            0.025772,            0.048413,           0.0063052,             0.00307,             0.00307,             0.00307
                  72,            0.019597,            0.057412,           0.0018626,             0.87495,             0.82411,             0.88211,             0.65732,            0.026024,            0.049174,           0.0064444,            0.002971,            0.002971,            0.002971
                  73,            0.019329,            0.057318,           0.0019824,             0.78946,              0.8266,             0.84753,             0.62659,            0.025745,            0.048775,           0.0073026,            0.002872,            0.002872,            0.002872
                  74,            0.019126,            0.055562,           0.0017202,             0.79772,             0.82599,             0.85134,              0.6314,            0.025863,            0.049555,           0.0075826,            0.002773,            0.002773,            0.002773
                  75,             0.01921,            0.056016,           0.0015809,             0.82577,              0.8487,             0.87622,             0.65167,            0.026043,             0.04968,           0.0065575,            0.002674,            0.002674,            0.002674
                  76,            0.019275,            0.057567,           0.0016641,             0.83569,             0.81448,             0.85972,             0.64058,            0.025826,            0.049214,            0.006808,            0.002575,            0.002575,            0.002575
                  77,            0.018977,             0.05628,           0.0017655,             0.82793,             0.85264,             0.87901,             0.65338,            0.025909,            0.049973,           0.0056289,            0.002476,            0.002476,            0.002476
                  78,            0.018943,            0.055479,           0.0018639,             0.85514,             0.80301,             0.88612,             0.65958,            0.025947,            0.049324,           0.0061465,            0.002377,            0.002377,            0.002377
                  79,            0.018941,            0.056027,           0.0016659,             0.78222,             0.85091,             0.85403,             0.62663,            0.025897,             0.04927,           0.0073118,            0.002278,            0.002278,            0.002278
                  80,            0.018904,            0.055544,           0.0016326,             0.83422,             0.86075,             0.88107,              0.6573,            0.025958,            0.049442,           0.0061992,            0.002179,            0.002179,            0.002179
                  81,             0.01871,            0.054252,           0.0017657,             0.84053,             0.83998,             0.88086,             0.65692,            0.025874,            0.049511,           0.0061651,             0.00208,             0.00208,             0.00208
                  82,            0.018874,            0.055426,           0.0016792,             0.83323,             0.82037,             0.86691,             0.64207,            0.025994,            0.049951,            0.007362,            0.001981,            0.001981,            0.001981
                  83,            0.018746,            0.054694,            0.001617,             0.82263,             0.82183,             0.86227,             0.63952,            0.025885,            0.049862,           0.0065282,            0.001882,            0.001882,            0.001882
                  84,            0.018665,            0.055489,           0.0016077,              0.8119,             0.85833,             0.88015,             0.65389,            0.025771,            0.049706,           0.0067423,            0.001783,            0.001783,            0.001783
                  85,            0.018549,            0.054377,           0.0016964,             0.85075,             0.83656,             0.87929,             0.65674,            0.025819,            0.049699,           0.0068143,            0.001684,            0.001684,            0.001684
                  86,            0.018334,            0.054828,           0.0015106,              0.8391,             0.86908,             0.87881,              0.6544,            0.025957,            0.050289,           0.0066378,            0.001585,            0.001585,            0.001585
                  87,            0.018403,            0.054602,           0.0014475,             0.80641,             0.82548,             0.85176,             0.63127,            0.025776,            0.050025,           0.0074293,            0.001486,            0.001486,            0.001486
                  88,            0.018326,            0.054757,            0.001423,             0.80763,             0.84818,             0.86894,             0.64639,            0.025828,            0.050627,           0.0074532,            0.001387,            0.001387,            0.001387
                  89,            0.018537,            0.054023,           0.0015231,             0.82262,             0.87854,              0.8737,             0.65147,            0.025787,            0.050943,           0.0066917,            0.001288,            0.001288,            0.001288
                  90,            0.018139,            0.053139,           0.0014919,              0.8334,             0.86469,             0.87552,              0.6519,            0.025773,            0.050414,           0.0067144,            0.001189,            0.001189,            0.001189
                  91,            0.018152,            0.052829,           0.0015471,             0.83881,             0.84339,             0.87555,             0.65225,             0.02589,             0.05066,            0.006654,             0.00109,             0.00109,             0.00109
                  92,            0.018281,            0.053421,           0.0014132,             0.82749,             0.87264,             0.88137,              0.6591,             0.02594,            0.050656,           0.0065572,            0.000991,            0.000991,            0.000991
                  93,            0.018286,            0.054034,           0.0012705,             0.82382,             0.83326,             0.87557,             0.65272,            0.025859,            0.050875,           0.0073973,            0.000892,            0.000892,            0.000892
                  94,            0.018239,            0.053204,           0.0013217,             0.80848,             0.83006,             0.85848,             0.63948,            0.025907,            0.051152,           0.0077841,            0.000793,            0.000793,            0.000793
                  95,            0.018265,            0.053657,           0.0013056,             0.80967,             0.86206,             0.87373,             0.65246,            0.025739,            0.050839,           0.0069263,            0.000694,            0.000694,            0.000694
                  96,            0.018266,            0.053403,           0.0013686,             0.81138,             0.84854,             0.87199,             0.65198,            0.025799,            0.051183,           0.0071594,            0.000595,            0.000595,            0.000595
                  97,            0.018069,            0.053127,           0.0011779,             0.84269,             0.84484,              0.8817,             0.66088,            0.025732,            0.050606,           0.0072921,            0.000496,            0.000496,            0.000496
                  98,            0.018028,            0.053496,           0.0012252,             0.82113,             0.84994,             0.87004,             0.65016,            0.025758,            0.051034,           0.0073886,            0.000397,            0.000397,            0.000397
                  99,            0.017987,            0.052883,            0.001225,             0.83094,              0.8192,             0.87142,             0.65294,            0.025816,            0.051154,           0.0081448,            0.000298,            0.000298,            0.000298
